level_pct,replicate,area_count,inj_no,source_vial
0.020,1,1905.9,1,CAL-1
0.020,2,1942.8,2, CAL-1
0.020,3,1979.7,3,CAL-1
0.050,1,4625.3,4,CAL-2
0.050,2,4714.9,5, CAL-2
0.050,3,4804.5,6,CAL-2
0.100,1,9153.4,7,CAL-3
0.100,2,9330.7,8, CAL-3
0.100,3,9507.9,9,CAL-3
0.200,1,17985.5,10,CAL-4
0.200,2,18299.1,11, CAL-4
0.200,3,18446.7,12,CAL-4
0.200,4,18594.3,13, CAL-4
0.200,5,19055.4,14,CAL-4
0.500,1,46272.1,15,CAL-5
0.500,2,47168.3,16, CAL-5
0.500,3,48064.5,17,CAL-5
1.000,1,92733.5,18,CAL-6
1.000,2,94529.5,19, CAL-6
1.000,3,96325.6,20,CAL-6
2.000,1,186399.2,21,CAL-7
2.000,2,190009.3,22, CAL-7
2.000,3,193619.5,23,CAL-7
5.000,1,467107.3,24,CAL-8
5.000,2,476154.2,25, CAL-8
5.000,3,485201.2,26,CAL-8
10.000,1,941114.9,27,CAL-9
10.000,2,959342.4,28, CAL-9
10.000,3,977569.9,29,CAL-9
