level_pct,replicate,area_count,inj_no,source_vial
0.020,1,1796.1,1,CAL-1
0.020,2,1830.9,2, CAL-1
0.020,3,1865.7,3,CAL-1
0.050,1,4449.7,4,CAL-2
0.050,2,4535.9,5, CAL-2
0.050,3,4622.1,6,CAL-2
0.100,1,8692.0,7,CAL-3
0.100,2,8860.4,8, CAL-3
0.100,3,9028.7,9,CAL-3
0.200,1,17067.6,10,CAL-4
0.200,2,17365.2,11, CAL-4
0.200,3,17505.2,12,CAL-4
0.200,4,17645.3,13, CAL-4
0.200,5,18082.9,14,CAL-4
0.500,1,43376.5,15,CAL-5
0.500,2,44216.6,16, CAL-5
0.500,3,45056.7,17,CAL-5
1.000,1,86655.1,18,CAL-6
1.000,2,88333.5,19, CAL-6
1.000,3,90011.8,20,CAL-6
2.000,1,177647.9,21,CAL-7
2.000,2,181088.6,22, CAL-7
2.000,3,184529.2,23,CAL-7
5.000,1,441829.7,24,CAL-8
5.000,2,450387.1,25, CAL-8
5.000,3,458944.5,26,CAL-8
10.000,1,889550.8,27,CAL-9
10.000,2,906779.7,28, CAL-9
10.000,3,924008.5,29,CAL-9
