level_pct,replicate,area_count,inj_no,source_vial
0.020,1,1937.9,1,CAL-1
0.020,2,1975.5,2, CAL-1
0.020,3,2013.0,3,CAL-1
0.050,1,4704.8,4,CAL-2
0.050,2,4796.0,5, CAL-2
0.050,3,4887.1,6,CAL-2
0.100,1,9133.7,7,CAL-3
0.100,2,9310.6,8, CAL-3
0.100,3,9487.5,9,CAL-3
0.200,1,18323.2,10,CAL-4
0.200,2,18642.7,11, CAL-4
0.200,3,18793.1,12,CAL-4
0.200,4,18943.4,13, CAL-4
0.200,5,19413.2,14,CAL-4
0.500,1,46212.7,15,CAL-5
0.500,2,47107.7,16, CAL-5
0.500,3,48002.8,17,CAL-5
1.000,1,91011.9,18,CAL-6
1.000,2,92774.7,19, CAL-6
1.000,3,94537.4,20,CAL-6
2.000,1,188672.6,21,CAL-7
2.000,2,192326.8,22, CAL-7
2.000,3,195981.0,23,CAL-7
5.000,1,468799.7,24,CAL-8
5.000,2,477879.4,25, CAL-8
5.000,3,486959.1,26,CAL-8
10.000,1,942920.7,27,CAL-9
10.000,2,961183.2,28, CAL-9
10.000,3,979445.7,29,CAL-9
