instrument, FM-700  ;  objective, 40x
specimen, QT-421-31 ; method, HV0.5 ; dwell_s, 12
seq,id,use,x_um,y_um,d1_um,d2_um,focus,program
1,W1,W, -520.0, -410.0, 60.57, 60.86,OK,RSTR-8B-revF
2,W2,W, -300.0, -410.0, 60.11, 60.50,ok ,RSTR-8B-revF
3,R1,R, 0.0, -33.0, 56.74, 57.06,OK,RSTR-8B-revF
4,R2,R, 221.0, 33.0, 57.03, 57.32,OK,RSTR-8B-revF
5,R3,R, 442.0, -33.0, 57.20, 57.59,OK,RSTR-8B-revF
6,R4,R, 663.0, 33.0, 57.42, 57.78,OK,RSTR-8B-revF
7,R5,R, 884.0, -33.0, 57.54, 57.83,OK,RSTR-8B-revF
8,R6,R, 1105.0, 33.0, 57.74, 58.12,OK,RSTR-8B-revF
9,R7,R, 1326.0, -33.0, 57.91, 58.23,OK,RSTR-8B-revF
10,R8,R, 1547.0, 33.0, 56.86, 57.25,OK,RSTR-8B-revF

Export note: diagonals are operator edge picks; no HV column requested.
