instrument, FM-700  ;  objective, 40x
specimen, QT-421-31 ; method, HV0.5 ; dwell_s, 12
seq,id,use,x_um,y_um,d1_um,d2_um,focus,program
1,W1,W, -520.0, -410.0, 60.53, 60.90,OK,RSTR-4A-revC
2,W2,W, -300.0, -410.0, 60.15, 60.46,ok ,RSTR-4A-revC
3,R1,R, 0.0, 0.0, 56.71, 57.09,OK,RSTR-4A-revC
4,R2,R, 404.0, 0.0, 56.99, 57.37,OK,RSTR-4A-revC
5,R3,R, 808.0, 0.0, 57.23, 57.56,OK,RSTR-4A-revC
6,R4,R, 1212.0, 0.0, 57.44, 57.75,OK,RSTR-4A-revC
7,R5,R, 143.0, 33.0, 54.11, 54.41,OK,RSTR-4A-revC
8,R6,R, 547.0, 33.0, 54.42, 54.78,OK,RSTR-4A-revC
9,R7,R, 951.0, 33.0, 54.58, 54.91,OK,RSTR-4A-revC
10,R8,R, 1355.0, 33.0, 54.28, 54.58,OK,RSTR-4A-revC

Export note: diagonals are operator edge picks; no HV column requested.
