well, assay,group,culture,sample_id,source_scan,tech_rep,Cq,amp_status,melt_peak_count,melt_Tm_C
B01, IL6,control,1,CTRL-01,CTRL-01,1,25.101,Amp,1,82.35
B02, IL6,control,1,CTRL-01,CTRL-01,2,25.157,Amp,1,82.35
B03, IL6,control,2,CTRL-02,CTRL-02,1,25.350,Amp,1,82.38
B04, IL6,control,3,CTRL-03,CTRL-03,1,25.426,Amp,1,82.40
B05, IL6,control,3,CTRL-03,CTRL-03,2,25.482,Amp,1,82.44
B06, IL6,control,4,CTRL-04,CTRL-04,1,25.276,Amp,1,82.42
B07, IL6,treated,1,TRT-01,TRT-01,1,23.955,Amp,1,82.37
B08, IL6,treated,1,TRT-01,TRT-01,2,24.011,Amp,1,82.35
B09, IL6,treated,2,TRT-02,TRT-02,1,24.143,Amp,1,82.37
B10, IL6,treated,3,TRT-03,TRT-03,1,24.167,Amp,1,82.42
B11, IL6,treated,3,TRT-03,TRT-03,2,24.223,Amp,1,82.39
B12, IL6,treated,4,TRT-04,TRT-04,1,22.901,Amp,1,82.47
B13, RPLP0,control,1,CTRL-01,CTRL-01,1,20.800,Amp,1,79.18
B14, RPLP0,control,1,CTRL-01,CTRL-01,2,20.856,Amp,1,79.19
B15, RPLP0,control,2,CTRL-02,CTRL-02,1,20.837,Amp,1,79.22
B16, RPLP0,control,3,CTRL-03,CTRL-03,1,20.815,Amp,1,79.25
B17, RPLP0,control,3,CTRL-03,CTRL-03,2,20.871,Amp,1,79.24
B18, RPLP0,control,4,CTRL-04,CTRL-04,1,20.845,Amp,1,79.29
B19, RPLP0,treated,1,TRT-01,TRT-01,1,20.703,Amp,1,79.21
B20, RPLP0,treated,1,TRT-01,TRT-01,2,20.759,Amp,1,79.20
B21, RPLP0,treated,2,TRT-02,TRT-02,1,20.740,Amp,1,79.25
B22, RPLP0,treated,3,TRT-03,TRT-03,1,20.717,Amp,1,79.27
B23, RPLP0,treated,3,TRT-03,TRT-03,2,20.773,Amp,1,79.25
B24, RPLP0,treated,4,TRT-04,TRT-04,1,20.748,Amp,1,79.31
B25, GAPDH,control,1,CTRL-01,CTRL-01,1,19.722,Amp,1,84.04
B26, GAPDH,control,1,CTRL-01,CTRL-01,2,19.778,Amp,1,84.06
B27, GAPDH,control,2,CTRL-02,CTRL-02,1,19.782,Amp,1,84.06
B28, GAPDH,control,3,CTRL-03,CTRL-03,1,19.777,Amp,1,84.10
B29, GAPDH,control,3,CTRL-03,CTRL-03,2,19.833,Amp,1,84.11
B30, GAPDH,control,4,CTRL-04,CTRL-04,1,19.784,Amp,1,84.17
B31, GAPDH,treated,1,TRT-01,TRT-01,1,18.906,Amp,1,84.05
B32, GAPDH,treated,1,TRT-01,TRT-01,2,18.962,Amp,1,84.05
B33, GAPDH,treated,2,TRT-02,TRT-02,1,18.974,Amp,1,84.09
B34, GAPDH,treated,3,TRT-03,TRT-03,1,18.961,Amp,1,84.12
B35, GAPDH,treated,3,TRT-03,TRT-03,2,19.017,Amp,1,84.12
B36, GAPDH,treated,4,TRT-04,TRT-04,1,18.967,Amp,1,84.16
