well, assay,group,culture,sample_id,source_scan,tech_rep,Cq,amp_status,melt_peak_count,melt_Tm_C
B01, IL6,control,1,CTRL-01,CTRL-01,1,25.137,Amp,1,82.36
B02, IL6,control,1,CTRL-01,CTRL-01,2,25.193,Amp,1,82.36
B03, IL6,control,2,CTRL-02,CTRL-02,1,25.389,Amp,1,82.37
B04, IL6,control,3,CTRL-03,CTRL-03,1,25.395,Amp,1,82.42
B05, IL6,control,3,CTRL-03,CTRL-03,2,25.451,Amp,1,82.43
B06, IL6,control,4,CTRL-04,CTRL-04,1,25.266,Amp,1,82.46
B07, IL6,treated,1,TRT-01,TRT-01,1,23.988,Amp,1,82.37
B08, IL6,treated,1,TRT-01,TRT-01,2,24.044,Amp,1,82.34
B09, IL6,treated,2,TRT-02,TRT-02,1,24.197,Amp,1,82.40
B10, IL6,treated,3,TRT-03,TRT-03,1,24.131,Amp,1,82.43
B11, IL6,treated,3,TRT-03,TRT-03,2,24.187,Amp,1,82.39
B12, IL6,treated,4,TRT-04,TRT-04,1,22.834,Amp,1,82.42
B13, RPLP0,control,1,CTRL-01,CTRL-01,1,20.800,Amp,1,79.23
B14, RPLP0,control,1,CTRL-01,CTRL-01,2,20.856,Amp,1,79.22
B15, RPLP0,control,2,CTRL-02,CTRL-02,1,20.850,Amp,1,79.24
B16, RPLP0,control,3,CTRL-03,CTRL-03,1,20.822,Amp,1,79.28
B17, RPLP0,control,3,CTRL-03,CTRL-03,2,20.878,Amp,1,79.26
B18, RPLP0,control,4,CTRL-04,CTRL-04,1,20.834,Amp,1,79.30
B19, RPLP0,treated,1,TRT-01,TRT-01,1,20.696,Amp,1,79.18
B20, RPLP0,treated,1,TRT-01,TRT-01,2,20.752,Amp,1,79.19
B21, RPLP0,treated,2,TRT-02,TRT-02,1,20.747,Amp,1,79.21
B22, RPLP0,treated,3,TRT-03,TRT-03,1,20.719,Amp,1,79.26
B23, RPLP0,treated,3,TRT-03,TRT-03,2,20.775,Amp,1,79.24
B24, RPLP0,treated,4,TRT-04,TRT-04,1,20.724,Amp,1,79.27
B25, GAPDH,control,1,CTRL-01,CTRL-01,1,19.722,Amp,1,84.05
B26, GAPDH,control,1,CTRL-01,CTRL-01,2,19.778,Amp,1,84.06
B27, GAPDH,control,2,CTRL-02,CTRL-02,1,19.794,Amp,1,84.11
B28, GAPDH,control,3,CTRL-03,CTRL-03,1,19.776,Amp,1,84.11
B29, GAPDH,control,3,CTRL-03,CTRL-03,2,19.832,Amp,1,84.12
B30, GAPDH,control,4,CTRL-04,CTRL-04,1,19.775,Amp,1,84.12
B31, GAPDH,treated,1,TRT-01,TRT-01,1,18.928,Amp,1,84.07
B32, GAPDH,treated,1,TRT-01,TRT-01,2,18.984,Amp,1,84.07
B33, GAPDH,treated,2,TRT-02,TRT-02,1,19.004,Amp,1,84.06
B34, GAPDH,treated,3,TRT-03,TRT-03,1,18.990,Amp,1,84.12
B35, GAPDH,treated,3,TRT-03,TRT-03,2,19.046,Amp,1,84.13
B36, GAPDH,treated,4,TRT-04,TRT-04,1,18.986,Amp,1,84.14
