well, assay,group,culture,sample_id,source_scan,tech_rep,Cq,amp_status,melt_peak_count,melt_Tm_C
B01, IL6,control,1,CTRL-01,CTRL-01,1,25.111,Amp,1,82.34
B02, IL6,control,1,CTRL-01,CTRL-01,2,25.167,Amp,1,82.33
B03, IL6,control,2,CTRL-02,CTRL-02,1,25.361,Amp,1,82.38
B04, IL6,control,3,CTRL-03,CTRL-03,1,25.416,Amp,1,82.43
B05, IL6,control,3,CTRL-03,CTRL-03,2,25.472,Amp,1,82.41
B06, IL6,control,4,CTRL-04,CTRL-04,1,25.256,Amp,1,82.45
B07, IL6,treated,1,TRT-01,TRT-01,1,23.966,Amp,1,82.33
B08, IL6,treated,1,TRT-01,TRT-01,2,24.022,Amp,1,82.34
B09, IL6,treated,2,TRT-02,TRT-02,1,24.180,Amp,1,82.41
B10, IL6,treated,3,TRT-03,TRT-03,1,24.153,Amp,1,82.40
B11, IL6,treated,3,TRT-03,TRT-03,2,24.209,Amp,1,82.40
B12, IL6,treated,4,TRT-04,TRT-14,1,18.586,Amp,1,82.47
B13, RPLP0,control,1,CTRL-01,CTRL-01,1,20.788,Amp,1,79.21
B14, RPLP0,control,1,CTRL-01,CTRL-01,2,20.844,Amp,1,79.22
B15, RPLP0,control,2,CTRL-02,CTRL-02,1,20.837,Amp,1,79.25
B16, RPLP0,control,3,CTRL-03,CTRL-03,1,20.825,Amp,1,79.28
B17, RPLP0,control,3,CTRL-03,CTRL-03,2,20.881,Amp,1,79.25
B18, RPLP0,control,4,CTRL-04,CTRL-04,1,20.838,Amp,1,79.31
B19, RPLP0,treated,1,TRT-01,TRT-01,1,20.681,Amp,1,79.19
B20, RPLP0,treated,1,TRT-01,TRT-01,2,20.737,Amp,1,79.22
B21, RPLP0,treated,2,TRT-02,TRT-02,1,20.732,Amp,1,79.22
B22, RPLP0,treated,3,TRT-03,TRT-03,1,20.717,Amp,1,79.25
B23, RPLP0,treated,3,TRT-03,TRT-03,2,20.773,Amp,1,79.28
B24, RPLP0,treated,4,TRT-04,TRT-04,1,20.731,Amp,1,79.30
B25, GAPDH,control,1,CTRL-01,CTRL-01,1,19.734,Amp,1,84.05
B26, GAPDH,control,1,CTRL-01,CTRL-01,2,19.790,Amp,1,84.05
B27, GAPDH,control,2,CTRL-02,CTRL-02,1,19.787,Amp,1,84.07
B28, GAPDH,control,3,CTRL-03,CTRL-03,1,19.758,Amp,1,84.10
B29, GAPDH,control,3,CTRL-03,CTRL-03,2,19.814,Amp,1,84.13
B30, GAPDH,control,4,CTRL-04,CTRL-04,1,19.767,Amp,1,84.15
B31, GAPDH,treated,1,TRT-01,TRT-01,1,18.924,Amp,1,84.06
B32, GAPDH,treated,1,TRT-01,TRT-01,2,18.980,Amp,1,84.04
B33, GAPDH,treated,2,TRT-02,TRT-02,1,18.981,Amp,1,84.09
B34, GAPDH,treated,3,TRT-03,TRT-03,1,18.957,Amp,1,84.14
B35, GAPDH,treated,3,TRT-03,TRT-03,2,19.013,Amp,1,84.13
B36, GAPDH,treated,4,TRT-04,TRT-04,1,18.966,Amp,1,84.14
