Run NR-2412  endpoint export
reader: CLARIOstar-07 ; gain 1250 ; endpoint 18 h

well , sample , dose_nM , log2_induction , final_uL , flags
B3 , NFKB-luc , 0.5 , -0.530 , 49.2 , --
C3 , NFKB-luc , 0.5 , -0.518 , 49.3 , --
D3 , NFKB-luc , 0.5 , -0.549 , 48.8 , --
B4 , NFKB-luc , 1.0 , -0.144 , 48.2 , --
C4 , NFKB-luc , 1.0 , -0.123 , 49.6 , --
D4 , NFKB-luc , 1.0 , -0.163 , 49.8 , --
B5 , NFKB-luc , 2.0 , 0.195 , 49.5 , --
C5 , NFKB-luc , 2.0 , 0.200 , 48.8 , --
D5 , NFKB-luc , 2.0 , 0.196 , 49.5 , --
B6 , NFKB-luc , 4.0 , 0.614 , 49.1 , --
C6 , NFKB-luc , 4.0 , 0.598 , 48.6 , --
D6 , NFKB-luc , 4.0 , 0.612 , 48.9 , --
A7 , NFKB-luc , 8.0 , 0.995 , 48.2 , --
A8 , NFKB-luc , 8.0 , 1.019 , 47.6 , --
B7 , NFKB-luc , 8.0 , 0.995 , 48.9 , --
A9 , NFKB-luc , 16.0 , 1.368 , 48.2 , --
A10 , NFKB-luc , 16.0 , 1.407 , 48.1 , --
B9 , NFKB-luc , 16.0 , 1.355 , 49.6 , --

Export note: final_uL is the post-read acoustic volume estimate.
Rows are in acquisition order, not dose order.
