Run NR-2413  endpoint export
reader: CLARIOstar-07 ; gain 1250 ; endpoint 18 h

well , sample , dose_nM , log2_induction , final_uL , flags
B3 , NFKB-luc , 0.5 , -0.491 , 49.2 , --
C3 , NFKB-luc , 0.5 , -0.519 , 48.9 , --
D3 , NFKB-luc , 0.5 , -0.515 , 50.1 , --
B4 , NFKB-luc , 1.0 , -0.141 , 48.6 , --
C4 , NFKB-luc , 1.0 , -0.117 , 49.8 , --
D4 , NFKB-luc , 1.0 , -0.121 , 49.3 , --
B5 , NFKB-luc , 2.0 , 0.222 , 49.7 , --
C5 , NFKB-luc , 2.0 , 0.251 , 48.9 , --
D5 , NFKB-luc , 2.0 , 0.243 , 49.6 , --
B6 , NFKB-luc , 4.0 , 0.574 , 48.4 , --
C6 , NFKB-luc , 4.0 , 0.573 , 49.1 , --
D6 , NFKB-luc , 4.0 , 0.584 , 49.4 , --
A7 , NFKB-luc , 8.0 , 1.509 , 40.7 , --
A8 , NFKB-luc , 8.0 , 1.525 , 39.1 , --
B7 , NFKB-luc , 8.0 , 0.969 , 50.1 , --
A9 , NFKB-luc , 16.0 , 2.060 , 40.6 , --
A10 , NFKB-luc , 16.0 , 2.063 , 41.0 , --
B9 , NFKB-luc , 16.0 , 1.355 , 49.5 , --

Export note: final_uL is the post-read acoustic volume estimate.
Rows are in acquisition order, not dose order.
